fec_name,office,website
DavidLBulova,House,https://www.davidbulova.com
HollyMSeibold,House,https://www.hollyseibold.com
JeionAWard,House,https://jeionward.com
DonLScottJr,House,https://leaderdonscott.com
NBaxterEnnis,House,https://baxterennis.com
JeremyDRodden,House,https://www.jeremyrodden.com
JamesAJayLeftwichJr,House,https://www.jayleftwich.com
StellaGPekarsky,Senate,https://stellapekarsky.com
MarkJLux,House,https://www.luxforvirginia.com/
JohnQSmith,House,https://www.johnqforva.org/
WChadGreen,House,https://greenfordelegate.com/
DebraDGardner,House,https://debragardnerfordelegate.com/
DucMTruong,House,https://www.ducforvirginia.com/
KarenLJenkins,House,https://karenforvirginia.com/
PhilipAHamilton,Senate,https://www.hamiltonforvasenate.com/
NatanDMcKenzie,Senate,https://natanmckenzieforva12.com/
DouglassHaydenFisher,Senate,https://www.haydenfisherforvirginia.com/
LLouiseLucas,Senate,https://www.senatorlouiselucas.com/
ChristieNewCraig,Senate,https://christienewcraig.com/
